Source,Target,Type,Id,Label,timeset,Weight,e_correlation,e_relation
n4,n3322,Undirected,130,,,0.519377,0.519377,Pos
n4,n3401,Undirected,131,,,0.496214,0.496214,Pos
n4,n3443,Undirected,132,,,0.527064,0.527064,Pos
n4,n3714,Undirected,133,,,0.5695,0.5695,Pos
n4,n4103,Undirected,134,,,0.466042,0.466042,Pos
n4,n4130,Undirected,135,,,0.597095,0.597095,Pos
n4,n4321,Undirected,136,,,0.499861,0.499861,Pos
n4,n4358,Undirected,137,,,0.484132,0.484132,Pos
n4,n4428,Undirected,138,,,0.511306,0.511306,Pos
n4,n4457,Undirected,139,,,0.509039,0.509039,Pos
n4,n4465,Undirected,140,,,0.479568,0.479568,Pos
n4,n4514,Undirected,141,,,0.442025,0.442025,Pos
n4,n4559,Undirected,142,,,0.459753,0.459753,Pos
n4,n4570,Undirected,143,,,0.48012,0.48012,Pos
n4,n4729,Undirected,144,,,0.549783,0.549783,Pos
n4,n4779,Undirected,145,,,0.544953,0.544953,Pos
n4,n4823,Undirected,146,,,0.465961,0.465961,Pos
n4,n4832,Undirected,147,,,0.48873,0.48873,Pos
n5,n45,Undirected,148,,,0.489346,0.489346,Pos
n5,n233,Undirected,149,,,0.517166,0.517166,Pos
n5,n246,Undirected,150,,,0.733176,0.733176,Pos
n5,n281,Undirected,151,,,0.932285,0.932285,Pos
n5,n357,Undirected,152,,,0.678458,0.678458,Pos
n5,n526,Undirected,153,,,0.774793,0.774793,Pos
n5,n582,Undirected,154,,,0.511339,0.511339,Pos
n5,n681,Undirected,155,,,0.474008,0.474008,Pos
n5,n685,Undirected,156,,,0.536212,0.536212,Pos
n5,n768,Undirected,157,,,0.665272,0.665272,Pos
n5,n834,Undirected,158,,,0.47624,0.47624,Pos
n5,n952,Undirected,159,,,0.460228,0.460228,Pos
n5,n970,Undirected,160,,,0.796604,0.796604,Pos
n5,n993,Undirected,161,,,0.598452,0.598452,Pos
n5,n1036,Undirected,162,,,0.483361,0.483361,Pos
n5,n1163,Undirected,163,,,0.502759,0.502759,Pos
